A B C D rep runOrder Y
- - - - 1 31 378
+ - - - 1 25 415
- + - - 1 34 380
+ + - - 1 7 450
- - + - 1 39 375
+ - + - 1 41 391
- + + - 1 64 384
+ + + - 1 16 426
- - - + 1 1 381
+ - - + 1 9 416
- + - + 1 44 371
+ + - + 1 60 445
- - + + 1 36 377
+ - + + 1 8 391
- + + + 1 29 375
+ + + + 1 62 430
- - - - 2 33 376
+ - - - 2 32 416
- + - - 2 48 379
+ + - - 2 12 446
- - + - 2 63 371
+ - + - 2 11 390
- + + - 2 2 385
+ + + - 2 53 433
- - - + 2 13 381
+ - - + 2 49 420
- + - + 2 3 372
+ + - + 2 5 448
- - + + 2 19 377
+ - + + 2 30 391
- + + + 2 26 376
+ + + + 2 35 430
- - - - 3 14 379
+ - - - 3 15 416
- + - - 3 24 382
+ + - - 3 28 449
- - + - 3 27 373
+ - + - 3 20 388
- + + - 3 21 386
+ + + - 3 38 430
- - - + 3 22 375
+ - - + 3 61 412
- + - + 3 46 371
+ + - + 3 56 443
- - + + 3 58 379
+ - + + 3 18 386
- + + + 3 42 376
+ + + + 3 55 428
- - - - 4 43 379
+ - - - 4 6 417
- + - - 4 40 383
+ + - - 4 50 447
- - + - 4 37 369
+ - + - 4 47 391
- + + - 4 54 385
+ + + - 4 57 431
- - - + 4 23 383
+ - - + 4 10 412
- + - + 4 4 370
+ + - + 4 52 448
- - + + 4 45 379
+ - + + 4 17 400
- + + + 4 59 377
+ + + + 4 51 428
